text,sentiment
I absolutely love this product! It's amazing,positive
This is the worst experience ever,negative
It's okay but could be better,neutral
Fantastic service and great quality!,positive
I hate it so much.,negative
Nothing special about it.,neutral
Best purchase I've made!,positive
Terrible quality waste of money.,negative
Average performance nothing to complain about.,neutral
This product changed my life!,positive
Broken and disappointing.,negative
It does the job.,neutral
Exceeded all my expectations!,positive
Complete disaster.,negative
Not bad not great.,neutral
I'm so happy with this purchase,positive
Absolutely horrible quality,negative
It works as expected,neutral
Couldn't be more pleased with this,positive
Worst company ever,negative
Same as everything else,neutral
Outstanding quality and service,positive
Total waste,negative
Perfectly fine,neutral
Love it so much,positive
Hate every bit of it,negative
Meets expectations,neutral
Five stars highly recommend,positive
One star do not buy,negative
Neither good nor bad,neutral
Amazing product highly satisfied,positive
Defective and unusable,negative
Adequate performance,neutral
Perfect design and functionality,positive
Poor quality cheap materials,negative
Okay for the price,neutral
Incredible value for money,positive
Money down the drain,negative
Acceptable quality,neutral
Satisfied beyond expectations,positive
Regret buying this,negative
Fair performance,neutral
This is the best ever,positive
Never again.,negative
Just neutral about it,neutral
